"","WellId","Metadata_well_1","Plate_number","Drug_name","Treatment","Metadata_dil_factor","Mitoxantrone_uM","PlateNumber","Row","Column","ObjectTotalIntenCh1"
"675145","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17584276
"675146","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8941363
"675147","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16755216
"675148","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,13074075
"675149","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9253945
"675150","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10865730
"675151","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9332504
"675152","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18561164
"675153","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20255432
"675154","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20286335
"675155","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,6090223
"675156","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21764963
"675157","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,14788235
"675158","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20343396
"675159","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10721622
"675160","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9311336
"675161","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21427747
"675162","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,37326406
"675163","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11615945
"675164","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,23636144
"675165","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20355154
"675166","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9725045
"675167","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17879424
"675168","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,30363339
"675169","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20393002
"675170","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,14662607
"675171","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19921419
"675172","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,32819756
