"","feature","plate","F_r","P_r","F_c","P_c","Channel","Channel_color","feature_type","P_r_log","P_c_log"
"52","RingTotalInten_TUB","2_C2_1",1.8521855512345,0.10425895964523,0.51060616726909,0.93276774147216,"TUB","panelC2","int",-2.26087747815705,-0.0695990464537078
"53","RingTotalInten_TUB","2_C2_2",3.73901143092541,0.00410651358319891,1.14010103986501,0.386188062340094,"TUB","panelC2","int",-5.49518088705812,-0.951430820029694
"54","RingTotalInten_TUB","2_C2_3",2.13659996315414,0.0614898756523872,1.99459191412881,0.0641113398686489,"TUB","panelC2","int",-2.78888274126003,-2.74713402167479
"55","RingAvgInten_TUB","1_C2_1",0.770304378076103,0.680399340357825,0.453595899411599,0.960330698350662,"TUB","panelC2","int",-0.385075387952633,-0.0404775763903826
"56","RingAvgInten_TUB","1_C2_2",2.03452443976528,0.074246569852492,1.37855068098923,0.238326845136294,"TUB","panelC2","int",-2.60036369963929,-1.43411224853116
"57","RingAvgInten_TUB","1_C2_3",2.34471725171855,0.0420638224145069,0.457907086026664,0.958543279935137,"TUB","panelC2","int",-3.16856723279634,-0.0423405636972316
"58","RingAvgInten_TUB","2_C2_1",3.95987183115412,0.00294517661595873,0.49478259430908,0.9412677981253,"TUB","panelC2","int",-5.82758649221374,-0.0605275910159444
"59","RingAvgInten_TUB","2_C2_2",7.03353512411127,6.4941355439544e-05,0.540990024568035,0.914662701918521,"TUB","panelC2","int",-9.6420259193247,-0.0891999134510505
"60","RingAvgInten_TUB","2_C2_3",3.70255072199264,0.00434212810096295,0.572193961058355,0.893742023632537,"TUB","panelC2","int",-5.43939070520606,-0.112338109620696
"61","CircTotalInten_TUB","1_C2_1",3.00382823160608,0.0133250983153823,1.12465620872592,0.397881891074205,"TUB","panelC2","int",-4.31810593069236,-0.921600073833465
"62","CircTotalInten_TUB","1_C2_2",1.58161223377498,0.172921352480946,0.57219550593737,0.893740932418968,"TUB","panelC2","int",-1.75491839778751,-0.112339330570597
"63","CircTotalInten_TUB","1_C2_3",3.89229989992244,0.00325719826112753,0.814779989085686,0.677803269002066,"TUB","panelC2","int",-5.72688788222643,-0.388898196861145
"64","CircTotalInten_TUB","2_C2_1",2.17908889528223,0.0568725787369292,0.89921649833332,0.595288435136701,"TUB","panelC2","int",-2.86694197427561,-0.518709225961437
"65","CircTotalInten_TUB","2_C2_2",5.05083548288937,0.000648894722568449,0.439008871635038,0.966020870667283,"TUB","panelC2","int",-7.34024006925904,-0.0345698397573744
"66","CircTotalInten_TUB","2_C2_3",2.04567478520453,0.0727286776997463,1.28118670221433,0.291460821316022,"TUB","panelC2","int",-2.62101950592767,-1.2328496859432
"67","CircAvgInten_TUB","1_C2_1",1.65852649844026,0.149784786313884,0.605916470992307,0.868703420678933,"TUB","panelC2","int",-1.898555773044,-0.140753500025232
"68","CircAvgInten_TUB","1_C2_2",4.44631124237394,0.00146268658616592,1.44952822506595,0.205307428985867,"TUB","panelC2","int",-6.52748040671155,-1.58324676961162
"69","CircAvgInten_TUB","1_C2_3",4.04478277564903,0.00259830912585807,0.6463937945916,0.835739187159204,"TUB","panelC2","int",-5.95289438172345,-0.179438691654701
"70","CircAvgInten_TUB","2_C2_1",8.70018946364536,1.30298300551151e-05,0.983233314550697,0.516520747002664,"TUB","panelC2","int",-11.2482692094978,-0.660639822782583
"71","CircAvgInten_TUB","2_C2_2",9.38850710528947,7.17620749284609e-06,0.575756242757673,0.89121174797922,"TUB","panelC2","int",-11.8447395187922,-0.115173227693107
"72","CircAvgInten_TUB","2_C2_3",5.05147207893902,0.000648359699701906,0.815293721751343,0.677298177821518,"TUB","panelC2","int",-7.34106492348608,-0.389643663121435
