feature,plate,F_r,P_r,F_c,P_c,Channel,Channel_color,feature_type,P_r_log,P_c_log,marker,plate_rep,marker_sub,log_neg,plate_rep1,cell_struc
CircSpotTotalInten_RNA,1A3,21.61660899,5.92E-09,2.864798358,0.011015971,RNA,panelA,int,-18.94576278,-4.508409123,SYTO14,plate1_rep3,SYTO14,18.94576278,p1.r3,RNA
CircSpotTotalInten_RNA,2A1,26.39455973,9.62E-10,5.341920426,0.000204554,RNA,panelA,int,-20.76171486,-8.494676425,SYTO14,plate2_rep1,SYTO14,20.76171486,p2.r1,RNA
CircSpotTotalInten_RNA,2A2,18.60683084,2.26E-08,1.977332773,0.06650229,RNA,panelA,int,-17.60626,-2.710518898,SYTO14,plate2_rep2,SYTO14,17.60626,p2.r2,RNA
CircSpotTotalInten_RNA,2A3,10.19856803,3.71E-06,2.085084565,0.052954924,RNA,panelA,int,-12.50479575,-2.938314224,SYTO14,plate2_rep3,SYTO14,12.50479575,p2.r3,RNA
CircSpotAvgInten_RNA,1A1,15.60493683,1.05E-07,1.858768341,0.085614196,RNA,panelA,int,-16.06476494,-2.457904165,SYTO14,plate1_rep1,SYTO14,16.06476494,p1.r1,RNA
CircSpotAvgInten_RNA,1A2,11.44360506,1.45E-06,11.89951361,3.39E-07,RNA,panelA,int,-13.44249411,-14.8971203,SYTO14,plate1_rep2,SYTO14,13.44249411,p1.r2,RNA
CircSpotAvgInten_RNA,1A3,38.87633685,2.62E-11,4.381900361,0.000815264,RNA,panelA,int,-24.36692314,-7.111998344,SYTO14,plate1_rep3,SYTO14,24.36692314,p1.r3,RNA
CircSpotAvgInten_RNA,2A1,69.15395237,1.06E-13,6.894031042,3.02E-05,RNA,panelA,int,-29.87463606,-10.40734126,SYTO14,plate2_rep1,SYTO14,29.87463606,p2.r1,RNA
CircSpotAvgInten_RNA,2A2,21.34494623,6.63E-09,2.40399519,0.027357156,RNA,panelA,int,-18.83193385,-3.598777154,SYTO14,plate2_rep2,SYTO14,18.83193385,p2.r2,RNA
CircSpotAvgInten_RNA,2A3,11.27467157,1.64E-06,2.717017584,0.014656816,RNA,panelA,int,-13.32022797,-4.222849768,SYTO14,plate2_rep3,SYTO14,13.32022797,p2.r3,RNA
CircSpotTotalArea_RNA,1A1,2.623168336,0.025611317,1.281576529,0.291228836,RNA,panelA,non-int,-3.664720961,-1.233645944,SYTO14,plate1_rep1,SYTO14,3.664720961,p1.r1,RNA
CircSpotTotalArea_RNA,1A2,1.531962611,0.189665803,0.668622294,0.816488015,RNA,panelA,non-int,-1.662491685,-0.202743046,SYTO14,plate1_rep2,SYTO14,1.662491685,p1.r2,RNA
CircSpotTotalArea_RNA,1A3,1.542375527,0.186029302,0.845959623,0.647157756,RNA,panelA,non-int,-1.681851082,-0.435165187,SYTO14,plate1_rep3,SYTO14,1.681851082,p1.r3,RNA
CircSpotTotalArea_RNA,2A1,4.752985924,0.000961232,2.080131265,0.053509997,RNA,panelA,non-int,-6.947294988,-2.927886779,SYTO14,plate2_rep1,SYTO14,6.947294988,p2.r1,RNA
CircSpotTotalArea_RNA,2A2,2.952121877,0.014536241,1.055484906,0.453398228,RNA,panelA,non-int,-4.231110379,-0.790984449,SYTO14,plate2_rep2,SYTO14,4.231110379,p2.r2,RNA
CircSpotTotalArea_RNA,2A3,1.828373819,0.109004459,0.548123882,0.910081778,RNA,panelA,non-int,-2.216366492,-0.094220817,SYTO14,plate2_rep3,SYTO14,2.216366492,p2.r3,RNA
CircSpotAvgArea_RNA,1A1,2.500974944,0.031784026,1.477123363,0.193663194,RNA,panelA,non-int,-3.448791439,-1.641634743,SYTO14,plate1_rep1,SYTO14,3.448791439,p1.r1,RNA
CircSpotAvgArea_RNA,1A2,1.551363108,0.182944594,3.050258146,0.007762972,RNA,panelA,non-int,-1.698571937,-4.858390013,SYTO14,plate1_rep2,SYTO14,1.698571937,p1.r2,RNA
CircSpotAvgArea_RNA,1A3,1.064818614,0.436859814,0.578998177,0.888884703,RNA,panelA,non-int,-0.828142927,-0.117787745,SYTO14,plate1_rep3,SYTO14,0.828142927,p1.r3,RNA
CircSpotAvgArea_RNA,2A1,5.956103898,0.000213136,1.757368446,0.106374464,RNA,panelA,non-int,-8.453580288,-2.240789733,SYTO14,plate2_rep1,SYTO14,8.453580288,p2.r1,RNA
CircSpotAvgArea_RNA,2A2,2.523404665,0.030542269,0.53234009,0.920051224,RNA,panelA,non-int,-3.4886437,-0.083325932,SYTO14,plate2_rep2,SYTO14,3.4886437,p2.r2,RNA
CircSpotAvgArea_RNA,2A3,1.299310892,0.290580091,0.562646898,0.900382867,RNA,panelA,non-int,-1.23587604,-0.104935198,SYTO14,plate2_rep3,SYTO14,1.23587604,p2.r3,RNA
